POSSESSION	APPARTENANCE	MARQUE	TYPE	ANCIENNETE	PUISSANCE	CARBURANT	OPTIONS	NOTE	ENTRETIEN	KILOMETRAGE	DEPENSE	CRITERE1	CRITERE2	CRITERE3	CRITERE4	CRITERE5	SEXE	CSP
Oui	vous	Volkswagen	Neuve	1	8-9_CV	Essence	Ordinateur de bord	16.00	10	6000	5000	vitesse	esthetique	confort	espace	pollution	Homme	Cadre
Oui	famille	Autre	Neuve			Gasoil	Climatisation	12.00	0	1500	1000	esthetique	vitesse	pollution	consommation	cout_entretien	Femme	Etudiant
Oui	vous	Renault	Occasion	5	4-5_CV	Gasoil	Jantes alu	11.00	2	1500	800	cout_entretien	esthetique	consommation	vitesse	confort	Homme	Etudiant
Oui	vous	Peugeot	Occasion			Sans plomb	Lecteur CD	13.00	1	1000	800	cout_entretien	confort	esthetique	consommation	pollution	Femme	Employe
Oui	vous	Citroen	Neuve	3	4-5_CV	Essence	Autres	13.00	1	1000	800	esthetique	cout_entretien	confort	consommation	vitesse	Femme	
Oui	vous	Opel	Neuve	2	4-5_CV	Essence	Lecteur CD	15.00	2	1500	1000	confort	securite	cout_entretien	esthetique	espace	Femme	
Oui	vous	Fiat	Occasion		6-7_CV	Gasoil	Climatisation	12.00	3	2000	1500	confort	consommation	cout_entretien	esthetique	vitesse	Femme	Commerçant-artisa
Oui	societe	Peugeot	Neuve			Gasoil	Climatisation	15.00	5	4000	3000	esthetique	vitesse	consommation	securite	confort	Homme	Cadre
Oui	vous	Ford	Occasion	10	4-5_CV	Gasoil	Jantes alu	11.00	1	1000	800	cout_entretien	consommation	confort	vitesse	esthetique	Homme	Ouvrier
Oui	vous	Citroen	Occasion	7	4-5_CV	Gasoil	Autres	11.00	2	800	500	cout_entretien	consommation	pollution	vitesse	confort	Homme	Chomeur
Oui	vous	Mercedes	Occasion	3	8-9_CV	Essence	Climatisation	15.00	5	2000	1500	esthetique	cout_entretien	vitesse	confort	pollution	Homme	Commerçant-artisa
Oui	vous	Renault	Neuve	5	4-5_CV	Gasoil	Autres	14.00	3	1000	700	esthetique	confort	cout_entretien	consommation	vitesse	Femme	Employe
Oui	vous	Mercedes	Neuve	3	8-9_CV	Gasoil	Climatisation	16.00	0	1000	1000	esthetique	espace	confort	vitesse	consommation	Femme	Employe
Oui	vous	Peugeot	Neuve	1	6-7_CV	Essence	Lecteur CD	17.00	1	1500	1500	esthetique	confort	vitesse	securite	cout_entretien	Femme	Cadre
Oui	vous	Volkswagen	Occasion		6-7_CV	Gasoil	Jantes alu	14.00	10	2000	1500	esthetique	vitesse	cout_entretien	consommation	La tenue de route	Homme	Autre
Oui	vous	Volkswagen	Neuve	5	8-9_CV	Essence	Climatisation	13.00	5	3000	2000	esthetique	cout_entretien	vitesse	consommation	confort	Homme	Employe
Oui	societe	Citroen	Occasion		6-7_CV	Gasoil	Climatisation	15.00	0	3000	1500	confort	vitesse	esthetique	La tenue de route	consommation	Femme	Commerçant-artisa
Oui	vous	Renault	Occasion	3	4-5_CV	Essence	Airbags	12.00	1	2000	1200	esthetique	confort	securite	cout_entretien	vitesse	Femme	Employe
Oui	vous	Renault	Occasion			GPL	Airbags	13.00	1	2000	1000	pollution	esthetique	consommation	confort	securite	Femme	
Oui	famille	Fiat	Occasion	9	moins_de_4CV	Sans plomb		9.00	1	1000	500	confort	securite	cout_entretien	pollution	esthetique	Femme	Chomeur
Oui	vous	Peugeot	Occasion			Sans plomb	Autres	12.00	3	3000	2000	espace	confort	vitesse	cout_entretien	La tenue de route	Femme	Commerçant-artisa
Oui	vous	Autre	Neuve	4	6-7_CV	Gasoil	Airbags	12.00	2	2000	1500	confort	esthetique	espace	cout_entretien	consommation	Femme	Cadre
Oui	vous	Autre	Occasion	5		Essence	Jantes alu	13.00	1	1500	1000	confort	consommation	cout_entretien	esthetique	pollution	Femme	Cadre
Oui	societe	Citroen	Neuve		8-9_CV	Gasoil	Lecteur CD	16.00	2	5000	2000	confort	vitesse	consommation	esthetique	pollution	Homme	Cadre
Oui	vous	Toyota	Neuve	1	6-7_CV	Essence	Climatisation	14.00	3	2000	2000	cout_entretien	esthetique	confort	vitesse	consommation	Homme	Cadre
Oui	vous	Renault	Neuve	3	4-5_CV	Essence	Airbags	13.00	0	1750	1500	esthetique	cout_entretien	consommation	confort	pollution	Femme	Cadre
Oui	vous	Opel	Neuve	0	6-7_CV	Gasoil	Climatisation	15.00	5	3000	2000	esthetique	confort	vitesse	securite	consommation	Homme	
Oui	famille	Mercedes	Neuve		8-9_CV	Gasoil	Climatisation	14.00	0	1000	750	esthetique	confort	cout_entretien	pollution	espace	Femme	
Oui	vous	Autre	Neuve	1	8-9_CV	Essence	Lecteur CD	15.00	0	1500	1500	confort	esthetique	cout_entretien	securite	espace	Femme	
Oui	vous	Ford	Occasion	5	6-7_CV	Sans plomb	Airbags	11.00	1	1500	1500	cout_entretien	esthetique	vitesse	confort	consommation	Homme	
Oui	vous	Renault	Neuve	2	8-9_CV	Gasoil	Climatisation	16.00	3	2500	2000	confort	esthetique	cout_entretien	consommation	pollution	Homme	Employe
Oui	vous	Fiat	Occasion	3	4-5_CV	Essence	Lecteur CD	12.00	1	1000	750	esthetique	confort	securite	cout_entretien	vitesse	Homme	Employe
Oui	vous	Autre	Neuve	15	moins_de_4CV	Essence		7.00	1	500	500	cout_entretien	consommation	vitesse	esthetique	confort	Femme	Ouvrier
Oui	vous	Opel	Occasion	2	6-7_CV	Gasoil	Jantes alu	16.00	5	1500	1000	esthetique	cout_entretien	consommation	vitesse	confort	Homme	Ouvrier
Oui	vous	Volvo	Neuve	12	4-5_CV	Gasoil	Autres	10.00	4	1500	1200	cout_entretien	esthetique	vitesse	confort	consommation	Homme	Ouvrier
Oui	societe	Citroen	Neuve		4-5_CV	Gasoil		11.00	0	3000	1500	confort	vitesse	cout_entretien	consommation	esthetique	Homme	Cadre
Oui	famille	Fiat	Neuve	5	4-5_CV	GPL	Airbags	15.00	2	5000	3500	espace	confort	vitesse	cout_entretien	pollution	Femme	Commerçant-artisa
Oui	vous	Autre	Neuve	1	10CV_et_plus	Essence	Climatisation	17.00	3	2500	2000	esthetique	confort	vitesse	consommation	pollution	Homme	
Oui	vous	Volkswagen	Occasion	3	6-7_CV	GPL	Airbags	14.00	1	2000	1000	esthetique	confort	pollution	consommation	vitesse	Femme	Employe
Oui	vous	Citroen	Occasion	5	4-5_CV	Essence	Jantes alu	12.00	1	1500	1000	cout_entretien	esthetique	vitesse	confort	La tenue de route	Homme	Ouvrier
Oui	famille	Autre	Neuve	5	4-5_CV	Gasoil	Autres	11.00	0	1000	500	cout_entretien	consommation	esthetique	pollution	securite	Femme	Chomeur
Oui	famille	Autre	Neuve	4	8-9_CV	GPL	Climatisation	15.00	0	2000	1000	esthetique	vitesse	confort	pollution	consommation	Homme	Autre
Oui	famille	Volkswagen	Neuve	2	6-7_CV	Essence	Climatisation	13.00	0	1500	1000	esthetique	confort	cout_entretien	consommation	pollution	Femme	Inactif
Oui	vous	Fiat	Occasion	8	4-5_CV	Gasoil		7.00	1	1000	500	confort	cout_entretien	consommation	vitesse	pollution	Homme	Agriculteur
Oui	famille	Peugeot	Occasion	9	4-5_CV	Gasoil	Autres	10.00	0	500	250	cout_entretien	espace	pollution	consommation	esthetique	Femme	Agriculteur
Oui	vous	Ford	Neuve	2	4-5_CV	Gasoil	Airbags	11.00	2	2000	1000	cout_entretien	confort	esthetique	pollution	consommation	Homme	Agriculteur
Oui	vous	Renault	Neuve	3	6-7_CV	GPL	Climatisation	17.00	3	2500	1500	confort	esthetique	cout_entretien	consommation	pollution	Homme	Commerçant-artisa
Oui	vous	Mercedes	Neuve		8-9_CV	Gasoil	Jantes alu	15.00	5	2500	2500	esthetique	vitesse	securite	cout_entretien	consommation	Homme	Commerçant-artisa
Oui	vous	Opel	Neuve	2	6-7_CV	Essence	Climatisation	13.00	1	2200	1500	cout_entretien	consommation	esthetique	vitesse	confort	Homme	Commerçant-artisa
Oui	vous	Mercedes	Neuve	1	10CV_et_plus	Essence	Lecteur CD	17.00	3	3000	3000	esthetique	confort	vitesse	pollution	La tenue de route	Homme	Cadre
Oui	vous	BMW	Occasion	3	8-9_CV	Essence	Climatisation	17.00	2	2500	2500	esthetique	securite	confort	vitesse	cout_entretien	Femme	Cadre
Oui	vous	BMW	Occasion	4	8-9_CV	Gasoil	Climatisation	15.00	5	3000	2750	esthetique	vitesse	consommation	securite	La tenue de route	Homme	Cadre
Oui	vous	Mercedes	Neuve	3	8-9_CV	Essence	Climatisation	15.00	4	3000	2500	esthetique	vitesse	cout_entretien	securite	pollution	Homme	Cadre
Oui	vous	Mercedes	Occasion		8-9_CV	Gasoil	Climatisation	14.00	5	2000	2000	vitesse	confort	esthetique	securite	pollution	Homme	Cadre
Oui	vous	BMW	Neuve	1	10CV_et_plus	GPL	Climatisation	16.00	2	3500	2000	pollution	vitesse	confort	cout_entretien	esthetique	Homme	Cadre
Oui	famille	Fiat	Occasion	2	4-5_CV	Gasoil	Airbags	12.00	2	1500	750	cout_entretien	consommation	La tenue de route	vitesse	confort	Femme	Chomeur
Oui	vous	Fiat	Neuve	7	4-5_CV	Sans plomb	Autres	12.00	4	1500	1000	cout_entretien	vitesse	securite	pollution	esthetique	Homme	Chomeur
Oui	vous	Renault	Neuve			Sans plomb	Airbags	13.00	0	1500	1000	confort	securite	esthetique	pollution	cout_entretien	Femme	
Oui	vous	Peugeot	Occasion	3	4-5_CV	Gasoil	Autres	13.00	0	1500	750	confort	consommation	esthetique	cout_entretien	securite	Femme	
Oui	vous	Citroen	Neuve	1	6-7_CV	Essence	Climatisation	14.00	1	2000	1250	confort	securite	esthetique	pollution	vitesse	Femme	Cadre
Oui	vous	Volkswagen	Neuve	0	4-5_CV	GPL	Climatisation	14.00	0	1500	1000	esthetique	pollution	consommation	confort	cout_entretien	Femme	Cadre
Oui	vous	Renault	Neuve	2		Gasoil	Airbags	13.00	1	1000	500	confort	securite	esthetique	consommation	cout_entretien	Femme	Cadre
Oui	vous	Autre	Neuve	2	6-7_CV	Essence	Climatisation	15.00	2	2500	1750	confort	securite	vitesse	esthetique	pollution	Femme	Cadre
Oui	vous	Renault	Occasion		4-5_CV	Essence	Airbags	13.00	0	1500	1000	confort	securite	esthetique	pollution	cout_entretien	Femme	
Oui	vous	Peugeot	Occasion			Sans plomb	Autres	13.00	0	2000	1250	esthetique	securite	confort	pollution	La tenue de route	Femme	
Oui	vous	Opel	Neuve	3	6-7_CV	Essence	Airbags	13.00	3	2000	1250	esthetique	cout_entretien	pollution	vitesse	confort	Homme	
Oui	famille	Citroen	Occasion	6	4-5_CV	Gasoil	Lecteur CD	12.00	1	1500	750	esthetique	confort	espace	cout_entretien	pollution	Femme	Inactif
Oui	vous	Ford	Neuve	5	6-7_CV	Gasoil	Airbags	12.00	3	1500	1000	cout_entretien	consommation	vitesse	confort	securite	Homme	Inactif
